organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Essex,County Mobile 1,Week 1 Monday,Rivenhall,Beech Road,"Beech Road, Rivenhall",CM8 3PF,,,Monday,09:20,09:50,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/rivenhall/beech-road/
Essex,County Mobile 1,Week 1 Monday,Cressing,Springett House,"Springett House, Cressing",CM778JJ,,,Monday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/cressing/springett-house/
Essex,County Mobile 1,Week 1 Monday,White Notley,Vicarage Avenue,"Vicarage Avenue, White Notley",CM8 1SB,,,Monday,11:05,11:35,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/white-notley/vicarage-avenue/
Essex,County Mobile 1,Week 1 Monday,Faulkbourne,Faulkbourne Village Hall,"Faulkbourne Village Hall, Faulkbourne",CM8 1SQ,,,Monday,11:40,12:10,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/faulkbourne/faulkbourne-village-hall/
Essex,County Mobile 1,Week 1 Monday,Black Notley,Bedells Avenue,"Bedells Avenue, Black Notley",CM778LZ,,,Monday,12:25,12:55,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/black-notley/bedells-avenue/
Essex,County Mobile 1,Week 1 Monday,Great Notley,Derwent Way Pond,"Derwent Way Pond, Great Notley",CM777UX,,,Monday,13:50,14:20,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/great-notley/derwent-way-pond/
Essex,County Mobile 1,Week 1 Monday,Great Leighs,Chatley Road,"Chatley Road, Great Leighs",CM3 1NU,,,Monday,14:35,15:05,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/great-leighs/chatley-road/
Essex,County Mobile 1,Week 1 Monday,Ranks Green,Hazelton Cottages,"Hazelton Cottages, Ranks Green",CM3 2BE,,,Monday,15:10,15:40,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/ranks-green/hazelton-cottages/
Essex,County Mobile 1,Week 1 Monday,Terling,Terling School Green,"Terling School Green, Terling",CM3 2PN,,,Monday,15:55,16:25,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/terling/terling-school-green/
Essex,County Mobile 1,Week 1 Tuesday,St Osyth,St Osyth Village Hall,"St Osyth Village Hall, St Osyth",CO168PE,,,Tuesday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/st-osyth/st-osyth-village-hall/
Essex,County Mobile 1,Week 1 Tuesday,Point Clear,Beacon Way,"Beacon Way, Point Clear",CO168JN,,,Tuesday,10:50,11:20,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/point-clear/beacon-way/
Essex,County Mobile 1,Week 1 Tuesday,Clacton,St Clements Court,"St Clements Court, Clacton",CO168XX,,,Tuesday,11:35,12:05,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/clacton/st-clements-court/
Essex,County Mobile 1,Week 1 Tuesday,Great Clacton,Lymington Avenue,"Lymington Avenue, Great Clacton",CO154PL,,,Tuesday,12:20,12:50,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/great-clacton/lymington-avenue/
Essex,County Mobile 1,Week 1 Tuesday,Little Clacton,The Street Pharmacy,"The Street Pharmacy, Little Clacton",CO169LQ,,,Tuesday,13:45,14:15,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/little-clacton/the-street-pharmacy/
