Vehicle,Route,B,Day,StopNo,MainLocation,SecondaryLocation,Postcode,Freq,Easting,Northing,Arrive,Depart,stop duration,Stop Time,Stop Time (dec),Travel time
CMOB,C2,1st,Tuesday,1,Horningsea,High Street,CB25 9JG,monthly,549269.61,262280.3,10:00:00,10:50:00,00:50:00,00:50:00,0.83,01:00:00
CMOB,C2,1st,Tuesday,2,Fen Ditton,Wrights Close,CB5 8SY,monthly,548300.06,260896.35,11:00:00,11:15:00,00:15:00,00:15:00,0.25,00:10:00
CMOB,C2,1st,Tuesday,3,Six Mile Bottom,Delamere Close,CB8 0UN,monthly,557852.61,256909.87,11:35:00,12:00:00,00:25:00,00:25:00,0.42,00:20:00
CMOB,C2,1st,Tuesday,4,West Wratting,High Street,CB21 5LU,monthly,560465.56,252265.92,12:15:00,12:45:00,00:30:00,00:30:00,0.50,00:15:00
CMOB,C2,1st,Tuesday,5,Weston Green,Post Office,CB21 5NT,monthly,562704.56,252215.78,13:50:00,14:15:00,00:25:00,00:25:00,0.42,01:05:00
CMOB,C2,1st,Tuesday,6,Weston Colville,Mill Hill,CB21 5NY,monthly,562024.85,252915.45,14:20:00,14:50:00,00:30:00,00:30:00,0.50,00:05:00
CMOB,C2,1st,Tuesday,7,Brinkley,High Street,CB8 0SF,monthly,563080.36,254670.2,15:00:00,16:00:00,01:00:00,01:00:00,1.00,00:10:00
CMOB,C3,1st,Wednesday,1,Newnham,Pinehurst/Grange Road,CB3 9BH,monthly,543765.98,257932.17,09:30:00,10:15:00,00:45:00,00:45:00,0.75,17:30:00
CMOB,C3,1st,Wednesday,2,Newnham,Larchfield/Gough Way,CB3 9LR,monthly,543504.44,257731.42,10:25:00,11:00:00,00:35:00,00:35:00,0.58,00:10:00
CMOB,C3,1st,Wednesday,3,Newton,The Green,CB22 7PA,monthly,543766.67,249490.09,11:25:00,12:00:00,00:35:00,00:35:00,0.58,00:25:00
CMOB,C3,1st,Wednesday,4,Thriplow,Middle Street / School Lane,SG8 7RH,monthly,543780.14,246684.12,12:10:00,12:35:00,00:25:00,00:25:00,0.42,00:10:00
CMOB,C3,1st,Wednesday,5,Thriplow,Sheralds Croft Lane,SG8 7RB,monthly,543394.95,246624.4,12:40:00,13:00:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C3,1st,Wednesday,6,Great Chishill,The Church,SG8 8SR,monthly,542301.02,238883.71,14:10:00,14:40:00,00:30:00,00:30:00,0.50,01:10:00
CMOB,C3,1st,Wednesday,7,Heydon,Fowlmere Road,SG8 8PZ,monthly,543096.25,240351.64,14:45:00,15:15:00,00:30:00,00:30:00,0.50,00:05:00
CMOB,C3,1st,Wednesday,8,Fowlmere,High Street,SG8 7SR,monthly,542250.28,245859.14,15:30:00,16:10:00,00:40:00,00:40:00,0.67,00:15:00
CMOB,C4,1st,Thursday,1,Harlton,Bolton Way,CB23 1EZ,monthly,538489.02,252415.11,10:00:00,10:20:00,00:20:00,00:20:00,0.33,17:50:00
CMOB,C4,1st,Thursday,2,Harlton,Lay-by,CB23 1ER,monthly,539103.61,252435.97,10:25:00,11:00:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,3,Haslingfield,The Meadows,CB23 1JD,monthly,540648,252429,11:10:00,11:40:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C4,1st,Thursday,4,Haslingfield,Methodist Church,CB23 1JW,monthly,540518.53,252172.94,11:45:00,12:20:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,5,Harston,The Limes,CB22 7QT,monthly,542701,251039.96,13:20:00,13:40:00,00:20:00,00:20:00,0.33,01:00:00
CMOB,C4,1st,Thursday,6,Harston,Queens Close,CB22 7QW,monthly,543209.38,251373.33,13:45:00,14:20:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,7,Hauxton,The Green,CB22 5HP,monthly,544010.99,252062.63,14:30:00,15:00:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C4,1st,Thursday,8,Trumpington,"Foster Road, Pavilion",CB2 9JT,monthly,544737.52,254838.98,15:15:00,16:00:00,00:45:00,00:45:00,0.75,00:15:00
CMOB,C5,1st,Friday,1,Cambridge,Storeys House,CB3 0BZ,monthly,544368.74,259165.21,09:45:00,10:15:00,00:30:00,00:30:00,0.50,17:45:00
CMOB,C5,1st,Friday,2,Barton,Roman Hill,CB23 7AX,monthly,541420.83,255657.43,10:35:00,10:55:00,00:20:00,00:20:00,0.33,00:20:00
CMOB,C5,1st,Friday,3,Barton,Kings Grove,CB23 7AZ,monthly,540891.27,256008.47,11:00:00,11:40:00,00:40:00,00:40:00,0.67,00:05:00
CMOB,C5,1st,Friday,4,Barton,Great Close,CB23 7BH,monthly,540733.62,255636.94,11:45:00,12:05:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C5,1st,Friday,5,Barton,Allens Close,CB23 7BL,monthly,540919.13,255656.02,12:10:00,12:30:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C5,1st,Friday,6,Grantchester,Stulpfield Road/Tabrum Close,CB3 9NL,monthly,543013.45,255642.96,12:40:00,13:10:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C5,1st,Friday,7,Coton,Footpath,CB3 7PX,monthly,541502.63,258767.34,14:00:00,14:35:00,00:35:00,00:35:00,0.58,00:50:00
CMOB,C5,1st,Friday,8,Coton,St Peters Road,CB3 7PR,monthly,540716.12,258738.1,14:40:00,16:00:00,01:20:00,01:20:00,1.33,00:05:00
CMOB,C8,2nd,Monday,1,Cambridge,Neville Road,CB1 3SW,monthly,547043.17,256699.33,09:45:00,10:20:00,00:35:00,00:35:00,0.58,17:45:00
CMOB,C8,2nd,Monday,2,Cambridge,Brooklyn Court,CB1 7HF,monthly,547357.56,256466.17,10:25:00,10:55:00,00:30:00,00:30:00,0.50,00:05:00
CMOB,C8,2nd,Monday,3,Cambridge,Normanhurst,CB1 7BJ,monthly,546532.29,256581.54,11:05:00,11:30:00,00:25:00,00:25:00,0.42,00:10:00
CMOB,C8,2nd,Monday,4,Cambridge,Denis Wilson Court,CB2 8ES,monthly,545109.76,256005.78,11:40:00,12:10:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C8,2nd,Monday,5,Trumpington,Bishops Road,CB2 2NQ,monthly,544723.74,254330.03,12:20:00,12:50:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C8,2nd,Monday,6,Babraham,High Street,CB22 3AG,monthly,551321.87,250372.54,13:50:00,14:15:00,00:25:00,00:25:00,0.42,01:00:00
CMOB,C8,2nd,Monday,7,Sawston,Chapelfield Way,CB22 3SY,monthly,548738.13,249631.5,14:25:00,14:50:00,00:25:00,00:25:00,0.42,00:10:00
CMOB,C8,2nd,Monday,8,Sawston,Uffen Way,CB22 3BS,monthly,548041.68,249562.86,15:00:00,15:30:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C8,2nd,Monday,9,Great Shelford,Orchard Road,CB22 5AA,monthly,546608,252642,15:40:00,16:10:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C9,2nd,Tuesday,1,Linton,Flaxfields,CB21 4JG,monthly,556059.3,247102.43,10:00:00,11:00:00,01:00:00,01:00:00,1.00,17:50:00
CMOB,C9,2nd,Tuesday,2,Camps End,Sangers Farm,CB21 4TR,monthly,561430.79,242487.26,11:25:00,11:40:00,00:15:00,00:15:00,0.25,00:25:00
CMOB,C9,2nd,Tuesday,3,Shudy Camps,Main Street,CB21 4RA,monthly,561531.58,245011.9,11:50:00,12:05:00,00:15:00,00:15:00,0.25,00:10:00
CMOB,C9,2nd,Tuesday,4,Castle Camps,Claydon Close,CB21 4TD,monthly,563353.19,243639.75,12:15:00,12:50:00,00:35:00,00:35:00,0.58,00:10:00
CMOB,C9,2nd,Tuesday,5,Horseheath,Old Nurseries,CB21 4QR,monthly,561557.84,247056.19,14:00:00,14:40:00,00:40:00,00:40:00,0.67,01:10:00
CMOB,C9,2nd,Tuesday,6,West Wickham,Streetley End,CB21 4RS,monthly,561653.57,248248.26,14:50:00,15:05:00,00:15:00,00:15:00,0.25,00:10:00
CMOB,C9,2nd,Tuesday,7,West Wickham,Council Houses,CB21 4SB,monthly,561836.2,249526.31,15:15:00,15:30:00,00:15:00,00:15:00,0.25,00:10:00
CMOB,C9,2nd & 4th,Tuesday,8,Balsham,Bandstand,CB21 5WA,twice monthly ,558606.1,250815.53,15:40:00,16:45:00,01:05:00,01:05:00,1.08,00:10:00
CMOB,C10,2nd,Wednesday,1,Kennett,Dane Hill,CB8 7QG,monthly,569860.22,268114.97,10:00:00,10:15:00,00:15:00,00:15:00,0.25,17:15:00
CMOB,C10,2nd,Wednesday,2,Chippenham,Village Hall,CB7 5PN,monthly,566137.21,270006.19,10:20:00,10:35:00,00:15:00,00:15:00,0.25,00:05:00
CMOB,C10,2nd,Wednesday,3,Snailwell,Roman Way,CB8 7LT,monthly,564596.61,267496.09,10:40:00,11:00:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C10,2nd,Wednesday,4,Fordham,Harry Palmer,CB7 5LZ,monthly,562534.54,270857.24,11:10:00,11:35:00,00:25:00,00:25:00,0.42,00:10:00
CMOB,C10,2nd,Wednesday,5,Fordham,Mildenhall Road,CB7 5NR,monthly,564151.24,270842.68,11:45:00,12:05:00,00:20:00,00:20:00,0.33,00:10:00
CMOB,C10,2nd,Wednesday,6,Isleham,Church Street,CB7 5RX,monthly,564288.13,274342.21,12:15:00,13:00:00,00:45:00,00:45:00,0.75,00:10:00
CMOB,C10,2nd,Wednesday,7,Lode,Longmeadow,CB25 9HA,monthly,554463.99,262891.88,14:10:00,14:35:00,00:25:00,00:25:00,0.42,01:10:00
CMOB,C10,2nd,Wednesday,8,Lode,Northfields,CB25 9EU,monthly,553635.17,262589.93,14:40:00,15:15:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C10,2nd,Wednesday,9,Lode,Post Office,CB25 9EW,monthly,553363.8,262684.33,15:20:00,16:00:00,00:40:00,00:40:00,0.67,00:05:00
CMOB,C10,2nd,Wednesday,10,Stow cum Quy,Wheelwright Close,CB25 9AN,monthly,552076.26,260518.79,16:10:00,16:30:00,00:20:00,00:20:00,0.33,00:10:00
CMOB,C11,2nd,Thursday,1,Newnham,Lammas Court,CB3 9HY,monthly,544342.98,257367.78,09:40:00,10:35:00,00:55:00,00:55:00,0.92,17:10:00
CMOB,C11,2nd,Thursday,2,Duxford Airfield,"Whitehall Gardens, Heathfield",CB22 4QJ,monthly,545647.64,246134.85,11:00:00,11:30:00,00:30:00,00:30:00,0.50,00:25:00
CMOB,C11,2nd,Thursday,3,Whittlesford,Ascham Lane,CB22 4LX,monthly,546988.72,248016.59,11:40:00,12:00:00,00:20:00,00:20:00,0.33,00:10:00
